"playerID","yearID","AB","H","BB","HBP","X2B","X3B","HR","SF","Games","POS","birthYear","birthMonth","birthDay","Age","Age_centered","SLG","OBP","wRC_plus"
"burnije01",2004,540,153,58,5,30,4,37,3,1458,"OF",1969,4,15,35,5,0.559259259259259,0.356435643564356,136.862119545288
"castivi02",2004,583,158,51,6,43,3,35,8,1659,"3B",1967,7,4,36,6,0.53516295025729,0.33179012345679,129.29340575567
"claytro01",2004,574,160,48,4,36,4,8,2,1693,"SS",1970,1,2,34,4,0.397212543554007,0.337579617834395,112.401961872212
"clossjd01",2004,113,36,6,2,6,0,1,0,141,"C",1980,1,15,24,-6,0.398230088495575,0.363636363636364,117.22445695897
"estessh01",2004,72,17,1,0,3,1,0,0,283,"P",1973,2,18,31,1,0.305555555555556,0.246575342465753,84.1057838660578
"freemch01",2004,90,17,14,0,3,2,1,0,98,"OF",1979,10,20,24,-6,0.3,0.298076923076923,92.6538461538462
"gonzalu02",2004,322,94,15,4,17,2,12,1,276,"2B",1979,6,26,25,-5,0.468944099378882,0.330409356725146,120.436417129781
"greento02",2004,195,55,13,0,14,0,10,1,363,"C",1971,5,8,33,3,0.507692307692308,0.325358851674641,124.564593301435
"hawpebr01",2004,105,26,11,1,3,2,3,1,823,"OF",1979,6,22,25,-5,0.4,0.322033898305085,109.966101694915
"heltoto01",2004,547,190,127,3,49,2,32,6,2193,"1B",1973,8,20,30,0,0.619744058500914,0.468521229868228,164.9005489814
"hockide01",2004,94,19,7,0,2,0,0,0,940,"SS",1970,4,2,34,4,0.223404255319149,0.257425742574257,75.3791868548557
"hollima01",2004,400,116,31,6,31,3,14,1,1731,"OF",1980,1,15,24,-6,0.4875,0.349315068493151,126.251712328767
"jennija01",2004,71,17,2,0,4,0,1,0,225,"P",1978,7,17,25,-5,0.338028169014085,0.26027397260274,90.7929770403241
"johnsch04",2004,305,72,49,5,20,0,13,1,1156,"C",1971,7,20,32,2,0.429508196721311,0.35,118.83606557377
"milesaa01",2004,522,153,29,2,15,3,6,6,844,"2B",1976,12,15,27,-3,0.367816091954023,0.329159212880143,107.064750272449
"pelloki01",2004,121,29,8,4,5,1,2,0,80,"1B",1973,8,28,30,0,0.347107438016529,0.308270676691729,100.61268874666
